Eye Id	Slide	Section	IL 1	IL 2	IL 3	IL 4	IL 5	IL 6	IL 7	IL 8	IL 9	IL 10	IL 11	IL 12	IL 13	IL 14
33A1L	5	1	0.166666667	0.5	0.166666667	0	0	0	0.166666667	0	0	0.5				
33A1L	5	6	0	0.166666667	0.166666667	0.333333333	0.166666667	0	0.166666667	0.333333333	0.166666667	0				
33A1L	10	1	0.166666667	0.166666667	0.333333333	0.166666667	0.166666667	0	0.166666667	0.166666667	0.166666667	0.333333333	1			
33A1L	10	6	0.333333333	0.333333333	0.166666667	0.166666667	0.333333333	0	0	0	0	0.25				
33A1L	15	2	0.333333333	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.5						
33A1L	15	5	0	0.166666667	0.166666667	0.166666667	0.166666667	0	0.166666667	0.166666667	0.333333333					
33A1L	20	3	0	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	0.333333333	0.166666667	0	0.5			
33A1L	20	7	0.333333333	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.5	0	0.166666667			
33A1L	25	1	0	0.333333333	0.166666667	0.333333333	0.333333333	0.666666667	0	0	0.166666667	0	0.333333333			
33A1L	25	6	0.333333333	0.5	0.166666667	0.166666667	0.333333333	0.166666667	0.666666667	0.333333333	0.333333333	0.166666667	1			
33A1L	30	3	0.166666667	0.333333333	0.333333333	0.333333333	0	0	0.333333333	0.166666667	0.833333333	0.333333333	0.166666667	0.333333333	0.333333333	0.5
33A1L	30	7	0.333333333	0.166666667	0.5	0	0.166666667	0	0.166666667	0.166666667	0.333333333	0.166666667	0	0.166666667	1	
33A1L	30	7	X	X	X	X	X	O	X	X	X	X	X	X	X	
33A1L	35	1	0	0.5	0.5	0.333333333	0.166666667	0.333333333	0.166666667	0	0.166666667	0.166666667	0.333333333	0.333333333		
33A1L	35	1	X	X	X	X	X	O	X	X	X	X	X	X		
33A1L	35	5	0.333333333	0.166666667	0.166666667	0.333333333	0	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0		
33A1L	35	5	X	X	X	X	O	O	X	X	X	X	X	X		
33A1L	40	1	0	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.166666667	0.333333333	0.333333333	0		
33A1L	40	7	0	0.166666667	0.333333333	0.166666667	0.333333333	0.5	0.166666667	0.166666667	0.333333333	0.333333333	0.166666667	1		
33A1L	45	1	0.333333333	0.166666667	0.333333333	0.333333333	0.166666667	0	0.333333333	0.166666667	0.333333333	0.333333333	0.666666667			
33A1L	45	5	0.166666667	0.333333333	0.5	0.333333333	0.166666667	0	0.166666667	0.333333333	0.333333333	0.166666667	1			
33A1L	50	1	0.166666667	0.666666667	0.166666667	0.166666667	0.166666667	0.333333333	0.166666667	0.5	0.333333333	1				
33A1L	50	6	0.333333333	0.333333333	0.166666667	0.5	0	0.5	0.333333333	0.166666667	0.333333333	0.5				
33A1L	55	1	0.333333333	0.166666667	0.5	0.333333333	0.166666667	0.166666667	0.166666667	0.333333333	0.666666667	0.333333333	1			
33A1L	55	5	0.2	0.2	0.4	0.4	0.2	0.2	0.2	0.4	0.4	0.2				
33A1L	60	1	0.166666667	0.5	0.5	1	0.333333333	0.166666667	0.333333333	0.333333333	0.333333333	0.75				
33A1L	60	6	0.5	0.5	0.833333333	0.833333333	0.5	0.166666667	0.166666667	0.166666667	0.333333333	0.5	0.5			
33A1L	65	1	0.166666667	0.5	1.5	2.666666667	1	0.166666667	0.166666667	0.333333333	0.5	0.166666667				
33A1L	65	6	0	0.666666667	1.833333333	3	0.833333333	0.166666667	0.5	0.5	0.5	0.5				
33A1L	70	1	0.166666667	0.666666667	4.833333333	2.333333333	0.333333333	0.833333333	0.666666667	0.666666667	0.333333333					
33A1L	70	6	0	1.5	5	2.666666667	0.833333333	0.666666667	0.666666667	0.333333333	1					
33A1L	75	1	0.333333333	0.833333333	2.833333333	4.833333333	3.333333333	2.333333333	1	0.333333333						
33A1L	75	6	0.166666667	0.833333333	3.833333333	2.5	3.166666667	2.666666667	1.166666667	0.666666667						
